,venue_name,venue_latitude,venue_longitude,locality,average_price_for_two,price_range,aggregate_rating,votes
4,Empire Restaurant,13.0146221335,77.6357905939,Kammanahalli,800,2,4.0,47977
5,Imperio Restaurant,13.0240723360,77.6431026310,Kalyan Nagar,900,2,4.1,46218
6,Cafe Pink Pajamas,13.0222332823,77.6395349577,Kalyan Nagar,600,2,3.8,1596
7,Chulha Chauki Da Dhaba,13.0247416436,77.6316284761,Kalyan Nagar,800,2,4.1,4457
8,Wanderers,13.0232442736,77.6431257650,Kalyan Nagar,2000,4,4.1,1066
0,Byg Brewski Brewing Company,12.9129344258,77.6829059422,Sarjapur Road,1600,3,4.3,34419
1,Hoot,12.9141108931,77.6784072071,Sarjapur Road,1650,3,4.1,12006
2,La Casa Brewery And Kitchen,12.9041277383,77.6759355515,Sarjapur Road,1500,3,4.0,3610
3,Kitchen On Table,12.9042770000,77.6758650000,Sadashiv Nagar,1500,3,4.2,1265
4,THE RIG,12.9106121937,77.6846255735,Sarjapur Road,1500,3,3.8,2997
5,Cafe At The Atelier,12.9061800000,77.6905030000,Sarjapur Road,800,2,3.8,759
6,Aurum Brew Works,12.9108360000,77.6857320000,Sarjapur Road,1500,3,4.4,2008
7,eat.fit,12.9147220000,77.6760710000,Sarjapur Road,400,1,3.7,63106
8,Vapour Brewpub and Diner,12.9141791934,77.6776290312,Sarjapur Road,1400,3,4.6,4792
0,The Watering Hole,12.9261072757,77.5156859681,Rajarajeshwari Nagar,1200,3,4.0,626
1,Paakashala,12.9301795751,77.5149389729,Rajarajeshwari Nagar,1000,3,4.0,1023
2,Fab Cafe,12.9342864455,77.5174491853,Rajarajeshwari Nagar,550,2,4.0,1410
3,Cheffu N Stuffu,12.9262579212,77.5149842352,Rajarajeshwari Nagar,650,2,4.0,3621
4,Eat@99,12.9165843976,77.5206510723,Rajarajeshwari Nagar,300,1,3.7,12260
5,1947,12.9259121880,77.5161399320,Rajarajeshwari Nagar,1100,3,4.0,1264
6,Kaapi Katte,12.9164115243,77.5206732005,Rajarajeshwari Nagar,150,1,4.4,655
7,Domino's Pizza,12.9256925915,77.5166575983,Rajarajeshwari Nagar,400,1,3.7,10136
8,Beijing Bites,12.9209267783,77.5207130983,Rajarajeshwari Nagar,700,2,3.8,9843
0,Windmills Craftworks,12.9824129557,77.7219793573,Windmills Craftworks,2500,4,4.4,6572
1,The Pallet,12.9908199430,77.7231213078,Whitefield,1600,3,4.2,6750
2,Bloomsbury's Global Kitchen & Bakehouse,12.9765462240,77.7254853398,Whitefield,900,2,4.2,4000
3,TherPUP - a Dog Cafe,12.9795258000,77.7453869000,Whitefield,700,2,3.9,1223
4,Ji Hazoor,12.9761874920,77.7269045636,Whitefield,1300,3,3.6,6416
5,Flechazo,12.9778318398,77.7253046259,Whitefield,1400,3,4.5,4801
6,Oota Bangalore,12.9823708106,77.7219243720,Windmills Craftworks,1500,3,4.3,688
7,HQ,12.9798646347,77.7278627828,Whitefield,1200,3,4.2,1339
8,Suryawanshi,12.9773450382,77.7249646559,Whitefield,700,2,4.0,4698
0,Gowdru Hotel,12.9695020000,77.5344490000,Vijay Nagar,250,1,3.9,18667
1,Big Bite,12.9674859568,77.5358146057,Vijay Nagar,300,1,4.1,5265
2,Cibo Esca,12.9607278692,77.5286299735,Vijay Nagar,1000,3,3.5,889
3,KFC,12.9608673849,77.5280264765,Vijay Nagar,450,1,4.0,11059
4,Black Deer,12.9609739003,77.5280177593,Vijay Nagar,350,1,4.1,5488
5,The Charcoal,12.9609118207,77.5284368545,Vijay Nagar,1400,3,2.9,575
6,Café Kaffea,12.9600975973,77.5269421935,Vijay Nagar,600,2,3.9,2197
7,Indraprastha Restaurant,12.9719983254,77.5373230129,Vijay Nagar,600,2,4.2,750
8,Laziz Pizza,12.9616505661,77.5264684483,Vijay Nagar,600,2,3.5,4206
0,Domino's Pizza,13.0538480778,77.5076172128,Jalahalli,400,1,4.2,10822
1,Sammaan Restaurant,13.0542579755,77.5073023885,Jalahalli,1000,3,3.9,10158
2,Gabru Bistro & Cafe,13.0671003306,77.5006387755,Jalahalli,600,2,4.0,7723
3,Doon Food Court,13.0635691660,77.5035362318,Jalahalli,400,1,3.7,8332
4,Cafe Casavista,13.0669236430,77.5021555647,Jalahalli,400,1,3.4,5198
5,Hotel Elite Restaurant,13.0567441294,77.5076641515,Jalahalli,750,2,3.6,5273
6,Polar Bear,13.0532490707,77.5083692372,Jalahalli,400,1,4.3,5782
7,Punjabi Nawabi,13.0632400000,77.5179400000,Jalahalli,400,1,3.6,3470
8,Pepe's Pizza,13.0632400000,77.5179400000,Jalahalli,650,2,4.0,2510
1,Chavadi,12.8921855342,77.6023468003,Bannerghatta Road,1200,3,4.1,2968
5,Fattoush,12.8928715376,77.5986319408,Bannerghatta Road,1000,3,4.1,25245
6,Empire Restaurant,12.8912665024,77.5985575095,Bannerghatta Road,800,2,3.9,39171
7,Mango Trees,12.8895526233,77.5847414508,JP Nagar,1000,3,4.1,4575
8,Public - The Rooftop Bar And Kitchen,12.8990016903,77.6056878269,Bannerghatta Road,1000,3,4.0,1838
0,Kabab Mehal,12.8836716148,77.5483582914,Kanakapura Road,550,2,4.0,7463
1,Sindhoora Gardenia,12.8834908747,77.5499971211,Kanakapura Road,800,2,3.8,3336
2,Adiga's,12.8826980000,77.5466400000,Kanakapura Road,350,1,3.0,5295
3,A2B - Adyar Ananda Bhavan,12.8836065745,77.5487049669,Kanakapura Road,550,2,3.1,244
4,Flavour of Shanghai,12.8857607384,77.5453297421,Kanakapura Road,450,1,3.9,2969
5,Behrouz Biryani,12.8857125000,77.5449625000,Uttarahalli,600,2,3.8,1891
6,Gowdara Mudde Mane,12.8828489685,77.5464056432,Kanakapura Road,200,1,4.0,145
7,Ovenstory Pizza,12.8857125000,77.5449625000,Kanakapura Road,400,1,3.5,1238
8,Faasos,12.8857125000,77.5449625000,Uttarahalli,450,1,3.9,3356
0,Rajathadri Palace,12.9074033211,77.5407176837,Uttarahalli,700,2,4.1,364
1,Domino's Pizza,12.9027825898,77.5446578488,Uttarahalli,400,1,3.7,7754
2,Sri Krishna Aramane,12.9056532769,77.5582556427,Kumaraswamy Layout,350,1,3.9,9597
3,New Biryani Mane,12.9107690578,77.5512761995,Uttarahalli,450,1,3.9,4498
4,Dal-icious,12.9032084235,77.5536080450,Kumaraswamy Layout,300,1,3.4,10230
5,Attic Lounge,12.9100821231,77.5506502390,Uttarahalli,900,2,3.9,155
6,Castle Rock,12.9134844249,77.5588668510,Uttarahalli,700,2,3.4,278
7,Polar Bear,12.9088752441,77.5625612587,Kumaraswamy Layout,400,1,4.0,2004
8,Aramane Donne Biryani,12.9082164093,77.5483224168,Uttarahalli,400,1,3.7,3747
0,AB's - Absolute Barbecue,13.0247589560,77.5483904779,Yeshwantpur,1250,3,4.5,1221
1,Azure - Taj Yeshwantpur,13.0284298260,77.5411317497,Taj Yeshwantpur,2500,4,4.0,172
2,Palette - Taj Yeshwantpur,13.0282099935,77.5411119685,Taj Yeshwantpur,1800,3,4.1,268
3,Hatch,13.0239867533,77.5480555370,Yeshwantpur,1200,3,4.1,223
4,Domino's Pizza,13.0367509818,77.5350940973,Jalahalli,400,1,4.3,6617
5,Paranda - Taj Yeshwantpur,13.0282740161,77.5411334261,Taj Yeshwantpur,1800,3,4.1,192
6,KFC,13.0243013184,77.5491428375,Yeshwantpur,450,1,3.8,2180
7,Fishing Boat,13.0208061280,77.5551885366,Yeshwantpur,300,1,3.8,6403
8,Breeze,13.0168124043,77.5493741781,"RG Royal Hotels, Yeshwantpur",1500,3,3.2,88
0,Acre,13.1893160000,77.6446300000,International Airport,700,2,3.0,19
1,McDonald's,13.1901923859,77.6451937482,International Airport,500,2,3.7,159
2,Ambari - Shivas Gateway,13.1924401785,77.6467316598,International Airport,1000,3,3.6,83
3,Seasons Restaurant,13.1912686261,77.6460108161,International Airport,1000,3,3.5,278
4,The Fiery Indian Kitchen,13.1901982616,77.6450468972,International Airport,700,2,3.4,4
5,Burgundy- Regenta Inn by Royal Orchid Hotels,13.1916747040,77.6457710937,International Airport,1700,3,0.0,3
6,Shivaji Restaurant,13.1914615458,77.6458411664,International Airport,300,1,3.0,5
7,Geetha Gardenia,13.1846230855,77.6634213701,International Airport,400,1,2.4,4
8,Nandanavana - Hotel Presidency,13.1930238308,77.6457989216,International Airport,700,2,3.5,5
